Particulars, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q2 2073, Q3 2073, Q4 2073, Q2 2074, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2074.PDF
Interest received,,,,,,,,,,,,,,,,,"6,680,677",1,"4,581,744,129",,,,,,,,,,,,,1,,
Fees and other income received,,,,,,,,,,,,,,,,,"1,628,857,740","2,387,135,702","740,684,880",,,,,,,,,,,,,1,,
Dividend received,,,,,,,,,,,,,,,,,"6,369,544",,,,,,,,,,,,,,,,,
Receipts from other operating activities,,,,,,,,,,,,,,,,,"300,741,955","390,642,943","12,779,861",,,,,,,,,,,,,1,,
Interest paid,,,,,,,,,,,,,,,,,,"11,702,297,820","3,334,712,464",,,,,,,,,,,,,"13,676,391,262",,
Commission and fees paid,,,,,,,,,,,,,,,,,"90,193,944","254,071,226","33,196,178",,,,,,,,,,,,,"133,859,644",,
Cash payment to employees,,,,,,,,,,,,,,,,,"1,504,756,323","2,541,482,983",,,,,,,,,,,,,,,,
Other expense paid,,,,,,,,,,,,,,,,,"634,549,397","1,871,328,126","354,168,018",,,,,,,,,,,,,"846,302,261",,
Operating cash flows before changes in operating assets and liabilities,,,,,,,,,,,,,,,,,,"5,329,015,316",,,,,,,,,,,,,,,,
(Increase)/Decrease in operating assets,,,,,,,,,,,,,,,,,"40,826,244,819",,,,,,,,,,,,,,,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,"2,419,588,795","237,182,154","6,022,294,267",,"6,899,221,455","18,721,482,611","22,013,200,732","28,377,184,020","12,091,979,926","9,072,897,671","17,854,280,963","8,255,716,067","9,380,482,072","12,521,711,192",1.0,8,1,
Placement with bank and financial institutions,,,,,,,,,,,,,,,,,"3,507,162,575",,,,"3,368,981,398","383,950,000",,,,,,,,,,,,
Other trading assets,,,,,,,,,,,,,,,,,"60,875","26,491,592","138,325,425",,"25,019,198","177,251,810","9,440,000","12,929,668","312,846,947","12,815,074",,,"6,711,704","162,822,000",,1,,
Loan and advances to bank and financial institutions,,,,,,,,,,,,,,,,,"1,283,654,325","1,415,139,893",,,,,,,,,,,,,,3,,
Loans and advances to customers,,,,,,,,,,,,,,,,,"30,098,185,584","31,046,251,975","11,510,110,229",50.0,"168,488,201,614","167,145,046,556","197,515,317,109","229,788,827,149","263,527,706,132","265,080,442,297","286,373,523,533","284,057,143,086","280,676,324,117","274,290,848,447",2.0,,2,
Other assets,"2,007,048",2.0,2.0,1.0,"974,925",1.0,,,,8.0,"1,225,509",9.0,,,"1,392,506","2,903,909","8,356,892,005","5,742,418,448","2,458,969",,"2,751,290,296","3,046,652,775","4,812,621,612","6,203,121,252","6,527,832,440","5,590,028,795",,,"4,593,793,051",,,1,,"1,356,603"
Increase/(Decrease) in operating liabilities,,,,,,,,,,,,,,,,,,3,"3,385,775,942",,,,,,,,,,,,,"7,456,737,583",,
Due to bank and financial institutions,,,,,,,,,,,,,,,,,"15,030,861,019",,,,,,,,,,,,,,,"2,235,782,699",,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,"11,182,002","427,728,015","737,175,774",,"587,138,515","314,541,457",,"3,646,290,826","3,680,478,610","3,238,618,707",,,"7,227,764,978","19,727,764,978",4.0,"19,067,844,978","19,727,764,978",
Deposit from customers,,,,,,,,,,,,,,,,,"14,940,447,248",3,"1,533,728,203",,,,,,,,,,,,,1,,
Borrowings,"184,897",1.0,1.0,,2,2.0,,,,,,,,,"1,550,000",,"1,289,592,202",7,,,,,,,,,,,,,,,,
Other liabilities,"1,586,173",2.0,2.0,8.0,"792,622",1.0,"1,165,027","1,197,460","991,073",1.0,"1,405,960",1.0,"1,218,598","1,191,679","1,465,779","1,325,869","14,621,047,657","31,248,974","487,304,116",,"2,626,692,148","7,071,166,733","5,006,997,066","5,958,290,758","6,503,372,499","5,777,781,152",,,"5,108,065,301",,,"711,902,915",,"1,357,690"
Net cash flow from operating activities before tax paid,,,,,,,,,,,,,,,,,"10,264,009,252",1,"8,127,377,007",,,,,,,,,,,,,"4,657,183,336",,
Income taxes paid,,,,,,,,,,,,,,,,,,"1,197,923,070","200,591,209",,,,,,,,,,,,,"732,302,576",,
Net cash flow from operating activities,,,,,,,,,,,,,,,,,"10,264,009,252",1,"8,127,377,007",,,,,,,,,,,,,"4,657,183,336",,
Purchase of investment securities,,,,,,,,,,,,,,,,,"786,672,055","3,755,253,701","2,113,607",,,,,,,,,,,,,2,,
Receipts from sale of investment securities,,,,,,,,,,,,,,,,,"1,506,280",,,,,,,,,,,,,,,,,
Purchase of property and equipment,,,,,,,,,,,,,,,,,"717,933,140","1,045,807,682","217,212,516",,,,,,,,,,,,,"131,936,335",,
Receipt from the sale of property and equipment,,,,,,,,,,,,,,,,,"18,739,598","140,515,151","140,515,153",,,,,,,,,,,,,,,
Purchase of intangible assets,,,,,,,,,,,,,,,,,"34,233,910","84,506,882","1,229,765",,,,,,,,,,,,,"14,832,635",,
Purchase of investment properties,,,,,,,,,,,,,,,,,"247,181,456","196,191,955","17,029,843",,,,,,,,,,,,,2,,
Receipt from the sale of investment properties,,,,,,,,,,,,,,,,,"3,705,669","39,893,310",,,,,,,,,,,,,,3,,
Interest received,,,,,,,,,,,,,,,,,"6,680,677",1,"4,581,744,129",,,,,,,,,,,,,1,,
Dividend received,,,,,,,,,,,,,,,,,"6,369,544",,,,,,,,,,,,,,,,,
Net cash used in investing activities,,,,,,,,,,,,,,,,,"1,742,894,617","4,014,787,022","230,260,080",,,,,,,,,,,,,7,,
Receipt from issue of debt securities,,,,,,,,,,,,,,,,,"4,380,544,243","4,222,188,284","1,945,597,231",,,,,,,,,,,,,,,
Repayment of debt securities,,,,,,,,,,,,,,,,,"487,500,000",,,,,,,,,,,,,,,,,
Receipt from issue of shares,,,,,,,,,,,,,,,,,"803,111,700",,,,,,,,,,,,,,,,,
Dividends paid,,,,,,,,,,,,,,,,,"44,620,012","60,183,055","869,376,716",,,,,,,,,,,,,,,
Interest paid,,,,,,,,,,,,,,,,,,"11,702,297,820","3,334,712,464",,,,,,,,,,,,,"13,676,391,262",,
Net cash from financing activities,,,,,,,,,,,,,,,,,"4,768,215,852","3,341,607,486","1,076,220,516",,,,,,,,,,,,,"256,496,940",,
